Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
142696730,Streamlit for Data Science: Create interactive data apps in Python,Tyler Richards,"Richards, Tyler",,180324822X,9781803248226,5,5,Packt Publishing,Paperback,300,2023,,12/28/2023,12/27/2023,,,read,,,,1,0
181592355,"MASTERING HIGH-PERFORMANCE DATA ANALYSIS WITH JULIA: Julia for the Future of Data Science, A Modern Language to Solve Modern Problems for Data Analysts",Ronald  C. Sheffield,"Sheffield, Ronald C.",,,,4,4,,Kindle Edition,144,2023,,12/27/2023,12/27/2023,,,read,,,,1,0
197692571,Julia Programming for AI Revolution: Harness the Power of Speed to Build Predictive Models (Beginner's Guide to Building Machine Learning Applications with Large Language Models),George Anvil,"Anvil, George",,,9798858634799,4,4,Independently published,Paperback,120,2023,,12/27/2023,12/27/2023,,,read,,,,1,0
60150526,"Transforming Trauma with Jiu-Jitsu: A Guide for Survivors, Therapists, and Jiu-Jitsu Practitioners to Facilitate Embodied Recovery",Jamie Marich,"Marich, Jamie",Anna Pirkl,1623176166,9781623176167,5,4.12,North Atlantic Books,Kindle Edition,293,2022,,12/26/2023,12/26/2023,,,read,,,,1,0
131861556,"The Art of Finding FLOW: How to Get in the Zone, Maintain Razor-Sharp Focus, and Improve Your Productivity and Performance at Will! (The Art Of Living Well Book 3)",Damon Zahariades,"Zahariades, Damon",,,,5,4.19,,Kindle Edition,198,2023,,12/26/2023,12/19/2023,,,read,,,,1,0
62835535,Zen Jiu Jitsu - Human Chess: High Percentage Strategies and Concepts for Beginners and Advanced Students,Oliver Staark,"Staark, Oliver",,,,5,4.27,,Kindle Edition,184,2022,,12/13/2023,11/2/2023,,,read,,,,1,0
32502150,Motivation: Stories on Life and Success from Brazilian Jiu-Jitsu Black Belts,Chuck J. Rylant,"Rylant, Chuck J.",,,,5,4.12,Perfect Life Publishing,Kindle Edition,118,2016,,12/13/2023,8/16/2023,,,read,,,,1,0
58530375,Worth Defending: How Gracie Jiu-Jitsu Saved My Life,Richard Bresler,"Bresler, Richard",Scott  Burr,,,5,4.67,,Kindle Edition,282,2021,,11/1/2023,11/1/2023,,,read,,,,1,0
54529554,Discipline Equals Freedom: Field Manual Mk1-MOD1,Jocko Willink,"Willink, Jocko",,,,5,4.08,St. Martin's Press,Kindle Edition,238,2020,2017,10/14/2023,10/2/2023,,,read,,,,1,0
123005135,The 32 Principles,Rener Gracie,"Gracie, Rener",Paul Volponi,163774367X,9781637743676,5,3.84,BenBella Books,Kindle Edition,240,2023,,10/1/2023,8/22/2023,,,read,,,,1,0
56941574,Play Bold: How to Win the Business Game through Creative Destruction,Magnus Penker,"Penker, Magnus",Philip Kotler,1943386919,9781943386918,4,4.09,Leaders Press,Kindle Edition,314,2021,,7/18/2022,7/9/2022,,,read,,,,1,0
42263660,Master Jiu-Jitsu Master Life: How To Create An Extraordinary Life Through Jiu-Jitsu,Paul Kindzia,"Kindzia, Paul",,,,5,4.29,,Kindle Edition,216,2018,,8/16/2023,7/30/2023,,,read,,,,1,0
62700874,The Anxious Achiever: Turn Your Biggest Fears into Your Leadership Superpower,Morra Aarons-Mele,"Aarons-Mele, Morra",,1647822548,9781647822545,5,4.06,Harvard Business Review Press,Kindle Edition,249,2023,,7/30/2023,6/25/2023,,,read,,,,1,0
821069,The Nia Technique: The High-Powered Energizing Workout that Gives You a New Body and a New Life,Debbie Rosas,"Rosas, Debbie",Carlos Rosas,0767917308,9780767917308,4,4.16,Harmony,Paperback,336,2005,213,8/1/2023,7/1/2023,read,,read,,,,1,0
61077300,Project Renaissance: Door to Nowhere (The Project Renaissance Series Book 2),Brian Gates,"Gates, Brian",,,,4,4.44,,Kindle Edition,229,2022,,6/24/2023,6/17/2023,,,read,,,,1,0
75405392,"Interactive Visualization and Plotting with Julia: Create impressive data visualizations through Julia packages such as Plots, Makie, Gadfly, and more",Diego Javier Zea,"Zea, Diego Javier",,1801810516,9781801810517,4,4,,Paperback,392,2022,,6/18/2023,4/8/2023,,,read,,,,1,0
57006193,White Wings: A Near-Future Sci-Fi Technothriller Novel (The Project Renaissance Series Book 1),Brian  Gates,"Gates, Brian",,1637321759,9781637321751,4,4.44,,Kindle Edition,295,2021,,6/17/2023,5/22/2023,,,read,,,,1,0
48731503,"Becoming Bulletproof: Protect Yourself, Read People, Influence Situations, and Live Fearlessly",Evy Poumpouras,"Poumpouras, Evy",,,,5,4.16,Atria Books,Kindle Edition,333,2020,2020,5/21/2023,4/17/2023,,,read,,,,1,0
59568435,The World of Urban Sketching: Celebrating the Evolution of Drawing and Painting on Location Around the Globe - New Inspirations to See Your World One Sketch at a Time,Stephanie Bower,"Bower, Stephanie",,0760374570,9780760374573,5,4.71,Quarry Books,Paperback,240,2022,,5/5/2023,4/30/2023,read,,read,,,,1,0
56215033,The Urban Sketching Handbook Drawing Expressive People: Essential Tips & Techniques for Capturing People on Location (Urban Sketching Handbooks),Róisín Curé,"Curé, Róisín",,,,5,4.3,Quarry Books,Kindle Edition,244,2020,,6/6/2023,4/30/2023,read,,read,,,,1,0
